Method	State	Epigenome	Assemblies	LenElements1	LenElements2	OverlapCount	DebugCheck	ExpectedOverlap	Enrichment	EnrichPValue	DepletePValue
normalApproximate	11_BivFlnk	E001	haqer.hg38	6073	1581	6	1.000000	3.617560	1.658576	1.579654e-01	9.235333e-01
normalApproximate	11_BivFlnk	E002	haqer.hg38	1245	1581	3	1.000000	0.729136	4.114458	1.388475e-02	9.367746e-01
normalApproximate	11_BivFlnk	E003	haqer.hg38	12474	1581	29	1.000000	7.968780	3.639202	1.144724e-13	9.987547e-01
normalApproximate	11_BivFlnk	E004	haqer.hg38	944	1581	2	1.000000	0.556592	3.593295	8.474197e-02	9.353439e-01
normalApproximate	11_BivFlnk	E005	haqer.hg38	6377	1581	20	1.000000	4.001218	4.998478	2.370509e-15	9.886196e-01
normalApproximate	11_BivFlnk	E006	haqer.hg38	4947	1581	11	1.000000	2.989312	3.679777	5.208472e-06	9.797791e-01
normalApproximate	11_BivFlnk	E007	haqer.hg38	1738	1581	5	1.000000	1.019264	4.905500	1.672980e-04	9.419532e-01
normalApproximate	11_BivFlnk	E008	haqer.hg38	1932	1581	2	1.000000	1.141196	1.752548	3.634044e-01	8.518007e-01
normalApproximate	11_BivFlnk	E009	haqer.hg38	4293	1581	7	1.000000	2.686051	2.606056	8.984350e-03	9.745596e-01
normalApproximate	11_BivFlnk	E010	haqer.hg38	4721	1581	8	1.000000	3.155875	2.534954	6.551264e-03	9.804654e-01
normalApproximate	11_BivFlnk	E011	haqer.hg38	4436	1581	6	1.000000	2.691595	2.229162	4.085877e-02	9.669203e-01
normalApproximate	11_BivFlnk	E012	haqer.hg38	8540	1581	9	1.000000	5.264455	1.709579	7.717721e-02	9.632901e-01
normalApproximate	11_BivFlnk	E013	haqer.hg38	1857	1581	2	1.000000	1.110446	1.801078	3.501346e-01	8.590908e-01
normalApproximate	11_BivFlnk	E014	haqer.hg38	10634	1581	11	1.000000	6.560826	1.676618	6.038222e-02	9.714291e-01
normalApproximate	11_BivFlnk	E015	haqer.hg38	13751	1581	15	1.000000	8.745771	1.715115	2.492101e-02	9.885239e-01
normalApproximate	11_BivFlnk	E016	haqer.hg38	9412	1581	8	1.000000	5.839865	1.369895	2.439989e-01	8.627177e-01
normalApproximate	11_BivFlnk	E017	haqer.hg38	5142	1581	15	1.000000	3.296810	4.549852	2.036407e-10	9.830255e-01
normalApproximate	11_BivFlnk	E018	haqer.hg38	12932	1581	11	1.000000	7.846647	1.401873	1.697598e-01	9.044267e-01
normalApproximate	11_BivFlnk	E019	haqer.hg38	13761	1581	15	1.000000	8.766622	1.711035	2.547128e-02	9.882558e-01
normalApproximate	11_BivFlnk	E020	haqer.hg38	12107	1581	12	1.000000	7.541532	1.591189	7.302947e-02	9.641063e-01
normalApproximate	11_BivFlnk	E021	haqer.hg38	3848	1581	15	1.000000	2.288615	6.554182	1.160132e-16	9.699116e-01
normalApproximate	11_BivFlnk	E022	haqer.hg38	8685	1581	20	1.000000	6.052318	3.304519	1.748197e-08	9.964007e-01
normalApproximate	11_BivFlnk	E023	haqer.hg38	1962	1581	7	1.000000	1.224328	5.717421	4.338583e-07	9.468752e-01
normalApproximate	11_BivFlnk	E024	haqer.hg38	7046	1581	28	1.000000	4.576046	6.118820	1.415465e-27	9.917739e-01
normalApproximate	11_BivFlnk	E025	haqer.hg38	3429	1581	7	1.000000	2.117459	3.305849	1.056384e-03	9.667995e-01
normalApproximate	11_BivFlnk	E026	haqer.hg38	1913	1581	3	1.000000	1.187694	2.525903	1.056617e-01	9.320742e-01
normalApproximate	11_BivFlnk	E027	haqer.hg38	4318	1581	24	1.000000	2.763656	8.684148	7.455018e-37	9.770062e-01
normalApproximate	11_BivFlnk	E028	haqer.hg38	997	1581	2	1.000000	0.599694	3.335033	1.046337e-01	9.329460e-01
normalApproximate	11_BivFlnk	E029	haqer.hg38	5946	1581	17	1.000000	3.930517	4.325130	7.137536e-11	9.881546e-01
normalApproximate	11_BivFlnk	E030	haqer.hg38	6093	1581	17	1.000000	4.139564	4.106713	4.055441e-10	9.894758e-01
normalApproximate	11_BivFlnk	E031	haqer.hg38	3826	1581	8	1.000000	2.528556	3.163861	7.336112e-04	9.736575e-01
normalApproximate	11_BivFlnk	E032	haqer.hg38	4744	1581	10	1.000000	3.105344	3.220255	1.159589e-04	9.810574e-01
normalApproximate	11_BivFlnk	E033	haqer.hg38	4526	1581	10	1.000000	2.929432	3.413631	4.867832e-05	9.790687e-01
normalApproximate	11_BivFlnk	E034	haqer.hg38	8930	1581	24	1.000000	6.056022	3.962997	4.313747e-13	9.964116e-01
normalApproximate	11_BivFlnk	E035	haqer.hg38	4624	1581	11	1.000000	3.046314	3.610921	7.364169e-06	9.804206e-01
normalApproximate	11_BivFlnk	E036	haqer.hg38	5607	1581	19	1.000000	3.824402	4.968097	1.601313e-14	9.874177e-01
normalApproximate	11_BivFlnk	E037	haqer.hg38	1696	1581	4	1.000000	1.028477	3.889247	5.545419e-03	9.419741e-01
normalApproximate	11_BivFlnk	E038	haqer.hg38	2069	1581	7	1.000000	1.266648	5.526399	8.168574e-07	9.479204e-01
normalApproximate	11_BivFlnk	E039	haqer.hg38	4401	1581	14	1.000000	2.876357	4.867268	1.043863e-10	9.784304e-01
normalApproximate	11_BivFlnk	E040	haqer.hg38	2221	1581	7	1.000000	1.317956	5.311255	1.660740e-06	9.491962e-01
normalApproximate	11_BivFlnk	E041	haqer.hg38	5795	1581	15	1.000000	3.855628	3.890417	2.067962e-08	9.876370e-01
normalApproximate	11_BivFlnk	E042	haqer.hg38	3412	1581	5	1.000000	2.131824	2.345409	4.885719e-02	9.578709e-01
normalApproximate	11_BivFlnk	E043	haqer.hg38	5234	1581	15	1.000000	3.556817	4.217254	2.118595e-09	9.853519e-01
normalApproximate	11_BivFlnk	E044	haqer.hg38	6716	1581	18	1.000000	4.870211	3.695938	3.727332e-09	9.930289e-01
normalApproximate	11_BivFlnk	E045	haqer.hg38	3651	1581	15	1.000000	2.353532	6.373400	4.318085e-16	9.709864e-01
normalApproximate	11_BivFlnk	E046	haqer.hg38	4155	1581	15	1.000000	2.709456	5.536166	1.809410e-13	9.762879e-01
normalApproximate	11_BivFlnk	E047	haqer.hg38	2259	1581	7	1.000000	1.382032	5.065005	3.730210e-06	9.507821e-01
normalApproximate	11_BivFlnk	E048	haqer.hg38	1918	1581	8	1.000000	1.159894	6.897181	6.347158e-10	9.452823e-01
normalApproximate	11_BivFlnk	E049	haqer.hg38	4467	1581	8	1.000000	2.959117	2.703509	3.677295e-03	9.788903e-01
normalApproximate	11_BivFlnk	E050	haqer.hg38	8691	1581	27	1.000000	6.542878	4.126625	1.811576e-15	9.972609e-01
normalApproximate	11_BivFlnk	E051	haqer.hg38	10026	1581	27	1.000000	8.262396	3.267817	8.055445e-11	9.989395e-01
normalApproximate	11_BivFlnk	E052	haqer.hg38	4080	1581	11	1.000000	2.629063	4.184000	4.044771e-07	9.751828e-01
