Chromosome/scaffold name	Gene start (bp)	Gene stable ID version	Strand
HG991_PATCH	66119285	ENSG00000261657.1	1
13	23551994	ENSG00000223116.1	-1
13	23708313	ENSG00000233440.2	1
13	23726725	ENSG00000207157.1	-1
13	23743974	ENSG00000229483.2	-1
13	23791571	ENSG00000252952.1	-1
13	23817659	ENSG00000235205.1	1
13	93708910	ENSG00000232849.1	1
13	23841645	ENSG00000236803.1	1
13	23947562	ENSG00000232163.2	1
13	94021100	ENSG00000252365.1	-1
13	23993110	ENSG00000229558.1	1
13	94047230	ENSG00000235784.2	-1
13	94470677	ENSG00000224394.1	-1
13	94677724	ENSG00000212559.1	-1
13	24040710	ENSG00000232977.2	1
13	94806447	ENSG00000236520.2	-1
13	24072935	ENSG00000227893.1	1
13	95117554	ENSG00000212057.1	-1
13	95303651	ENSG00000222129.1	-1
13	24340073	ENSG00000232102.1	-1
13	95351479	ENSG00000242037.2	-1
13	95351948	ENSG00000238230.1	-1
13	95364970	ENSG00000227640.2	1
13	24463028	ENSG00000205861.7	1
13	95409705	ENSG00000235768.1	-1
13	95412807	ENSG00000237924.1	-1
13	95612295	ENSG00000260962.1	1
13	95671489	ENSG00000252335.1	1
13	95862598	ENSG00000238463.1	1
13	95963084	ENSG00000223298.1	-1
13	24513696	ENSG00000196593.5	-1
13	95988360	ENSG00000200211.1	-1
13	96046303	ENSG00000271492.1	1
13	96131698	ENSG00000223392.1	-1
13	24553949	ENSG00000228741.2	1
13	96300987	ENSG00000247400.3	-1
13	24696204	ENSG00000225674.1	-1
13	96344792	ENSG00000229622.1	1
13	24736555	ENSG00000252695.1	1
13	24826887	ENSG00000227213.1	-1
13	96346237	ENSG00000227714.1	-1
13	24889863	ENSG00000240868.1	-1
13	96346823	ENSG00000232373.2	1
13	24902349	ENSG00000234627.2	1
13	96366931	ENSG00000251901.1	-1
13	24905588	ENSG00000261498.1	1
13	96461564	ENSG00000226977.1	-1
13	24974841	ENSG00000233545.1	1
13	96821799	ENSG00000242614.2	1
13	97225913	ENSG00000233273.1	1
13	24982295	ENSG00000205822.6	1
13	97536096	ENSG00000235137.1	-1
13	97593535	ENSG00000243300.2	-1
13	25129366	ENSG00000266216.1	-1
13	25140981	ENSG00000244615.1	1
13	97599891	ENSG00000234267.2	-1
13	25141011	ENSG00000243008.2	1
13	97600272	ENSG00000272329.1	1
13	25183217	ENSG00000211508.1	1
13	97601503	ENSG00000222472.1	-1
13	25277694	ENSG00000207474.1	-1
13	97618195	ENSG00000252154.1	-1
13	25278476	ENSG00000225404.2	-1
13	97709633	ENSG00000238522.1	1
13	97824723	ENSG00000233124.1	-1
13	25316815	ENSG00000231417.2	1
13	98015226	ENSG00000202290.1	-1
13	98127996	ENSG00000271625.1	1
13	25324795	ENSG00000226695.1	-1
13	98327265	ENSG00000226134.1	-1
13	98538063	ENSG00000238407.1	1
13	98553907	ENSG00000233291.1	1
13	98591610	ENSG00000270725.1	1
13	25498815	ENSG00000253771.1	-1
13	98639204	ENSG00000232217.1	-1
13	98856089	ENSG00000222969.1	-1
13	98860778	ENSG00000263399.1	1
13	98885904	ENSG00000269189.1	1
13	98981909	ENSG00000269599.1	-1
13	25517713	ENSG00000251299.1	1
13	99087659	ENSG00000231194.1	-1
13	99205497	ENSG00000271437.1	1
13	25562715	ENSG00000232858.1	-1
13	99229498	ENSG00000224418.1	1
13	25715794	ENSG00000256305.1	1
13	99262546	ENSG00000217686.2	-1
13	25746966	ENSG00000234056.1	-1
13	99281940	ENSG00000233549.2	-1
13	25755579	ENSG00000238169.1	1
13	99293068	ENSG00000233662.1	-1
13	25767245	ENSG00000225105.2	-1
13	99324234	ENSG00000243366.2	1
13	25780187	ENSG00000235315.2	1
13	99484338	ENSG00000229918.1	1
HG706_PATCH	75610476	ENSG00000261530.1	-1
13	25820669	ENSG00000221324.1	1
13	25874262	ENSG00000260509.2	-1
13	99601973	ENSG00000231981.3	-1
13	25939937	ENSG00000234152.1	-1
13	26027137	ENSG00000265546.1	-1
HG706_PATCH	75418301	ENSG00000260666.1	-1
13	99677488	ENSG00000207298.1	1
13	26091257	ENSG00000199767.1	1
13	99740073	ENSG00000260992.1	1
13	26437388	ENSG00000180803.2	-1
13	99825847	ENSG00000230871.1	1
13	26518632	ENSG00000242381.2	1
HG185_PATCH	39868578	ENSG00000260334.1	1
13	26524842	ENSG00000223158.1	-1
13	26626414	ENSG00000231983.1	-1
13	99842833	ENSG00000234005.3	-1
13	99848631	ENSG00000228889.2	-1
13	26688547	ENSG00000233963.1	-1
13	99857962	ENSG00000201793.1	1
